dasid;StandardTitle;Citation;AccessConstraint;AccConNotes
1;MWTL physical monitoring network: current water data;NULL;Attribution (CC BY);Release with permission of the appropriate parties
2;Algaebase;"Guiry, M.D. & Guiry, G.M. 2012. AlgaeBase. World-wide electronic publication, National University of Ireland, Galway. http://www.algaebase.org; searched on dd Month yyyy.";For more information on the restrictions, use contact information.;NULL
3;VLIZ's Marine Species Register;"VLIZ (2004). Data from VLIZ's Marine Species Register, provided by Flanders Marine Institute (VLIZ)- http://www.vliz.be/vmdcdata/aphia/index.htm; searched on dd/mm/yyyy.";Attribution (CC BY);NULL
4;Arctic Benthic Fauna;NULL;NULL;NULL
5;Arctic hard-bottom fauna [Jan Mayen I.];NULL;NULL;NULL
6;Arctic hard-bottom fauna [Svalbard];NULL;NULL;NULL
7;Temporal patterns of bacterial diversity in a changing environment;NULL;Restricted;Restrictions available at contact person
8;Beached Bird Survey;NULL;Restricted;Not freely available
9;Belgian Continental Shelf Copepoda;NULL;Attribution (CC BY);
10;Biographical Etymology of Marine Organism Names;HANSSON, H. (2004). Data from BEMON, Biographical Etymology of Marine Organism Names  http://www.tmbl.gu.se/libdb/taxon/personetymol/index.htm;Unrestricted;NULL
11;Benthic fauna around Franz Josef Land;Dahle S., R. Palerud, N. Anisimova, 1992: Benthic fauna around Franz Josef Land. Akvaplan-niva, Norway.;Attribution-NonCommercial (CC BY-NC);NULL
12;Benthic Fauna in the Barents Sea;Dahle S., S. Cochrane, 1992: Northern Barents Sea 1992. Akvaplan-niva, Norway;Attribution-NonCommercial (CC BY-NC);NULL
13;Benthic fauna in the Kara Sea;NULL;NULL;NULL
14;Benthic fauna of Spitsbergen fjords;NULL;NULL;NULL
15;Benthos baseline survey, Faeroes;NULL;NULL;NULL
16;<b>ME-1a.</b> Breeding birds along the Zeeschelde, Belgium;"Van den Bergh, E.; Onderzoeksgroep Ecosysteemdiversiteit - INBO, Belgium; (2004): ME-1a. Breeding birds along the Zeeschelde, Belgium.";Attribution (CC BY);Release with permission of the appropriate parties
17;Catalog of Fishes;Data from Catalog of Fishes Database  http://www.calacademy.org/research/ichthyology/ searched on dd/mm/yyyy.;Attribution (CC BY);
18;CephBase;"NRCC, University of Texas Medical Branch, Phillip Lee, and James B. Wood; Biology Department, Dalhousie University, Cartiona L. Day and Ronald K. O'Dor., CephBase (European data). National Resource Center for Cephalopods (NRCC), 11 Aug 2004, Galveston, Texas.";Attribution (CC BY);
19;Chemical analysis of estrogens, organochlorine and organonitrogen pesticides as possible endocrine disruptors Scheldt-estuary;"Noppe, H.; De Brabander, H.; De Wasch, K.;  Laboratory for Chemical Analysis - Ugent, Belgium; (2006): Chemical analysis of estrogens, organochlorine and organonitrogen pesticides as possible endocrine disruptors Scheldt-estuary.";Unrestricted after moratorium period;NULL
20;Chemical analysis of PAK's, Organotin, PCB's, PBDE's and organochlorine pesticides as possible endocrine disruptors in Scheldt estuary;"Monteyne, E.; Roose, P.; Management Unit of the North Sea Mathematical Models - RBINS; (2003): Chemical analysis of PAK's, Organotin, PCB's, PBDE's and organochlorine pesticides as possible endocrine disruptors in Scheldt estuary.";Attribution (CC BY);
21;Check List of European Marine Mollusca;Data from CLEMAN: Check List of European Marine Mollusca Database  http://www.somali.asso.fr/clemam/index.clemam.html searched on dd/mm/yyyy.;Attribution (CC BY);
22;<b>ME-4</b> Biomonitoring fish stocks in the Zeeschelde using paired fyke nets;"Breine, J.; Onderzoeksgroep Ecosysteemdiversiteit - INBO; (2017): ME-4 Monitoring the estuary along the Zeeschelde- fish stocks.";Attribution (CC BY);NULL
23;Dispersal of invertebrate key species based on molecular methods.;"Remerie, T.; Marine Biology Section - Ugent; (2006): Dispersal of invertebrate key species based on molecular methods.";Unrestricted after moratorium period;NULL
24;Dispersal of pelagic organisms of the Belgian Continental Shelf;"Rappé, K.; Gheerardyn, H.. (2004). Dispersal of pelagic organisms of the Belgian Continental Shelf. Afdeling Mariene Biologie - Ugent, Belgium. Http://www.vliz.be/imis/imis.php?module=dataset&dasid=24";Attribution (CC BY);NULL
25;Distribution of wintering gulls;Data Institute for Nature Conservation;Unrestricted after moratorium period;NULL
26;DONAR;NULL;Restricted;Release with permission of the appropriate parties
28;Ecotox;"COLIN JANSSEN & VANDEN BERGHE, E. (2004). Data from ECOTOX  www.vliz.be/vmdcdata/ecotox/index.htm; searched on dd/mm/yyyy.";Unrestricted;NULL
30;European Register of Marine Species version 1;Data from ERMS: European Register of Marine Species Database  http://www.marbef.org/data/erms.php searched on dd/mm/yyyy.;Unrestricted;NULL
31;EUMARSIN Database;NULL;Unrestricted;NULL
32;EUROCORE database;NULL;Unrestricted;NULL
33;EUROSEISMIC Database;NULL;Restricted;Release with permission of the appropriate parties
34;EU-SEASED database;NULL;Restricted;Restrictions available at contact person
35;Evolution of populations of coastal breeders at the inner port of Zeebrugge;NULL;Unrestricted after moratorium period;NULL
36;Evolution of populations of coastal breeders at the inner port of Zeebrugge: breeding success;Data Institute for Nature Conservation;Unrestricted after moratorium period;NULL
37;Evolution of populations of coastal breeders at the inner port of Zeebrugge: population size;"Stienen, E.; Instituut voor Natuur en Bos Onderzoek; (2004): Evolutie van populaties van kustbroedvogels in de voorhaven van Zeebrugge: populatiegrootte. http://www.vliz.be/en/imis?module=dataset&dasid=37";Unrestricted after moratorium period;NULL
38;Evolution of populations of coastal breeders at the inner port of Zeebrugge: population structure;Data Institute of Nature Conservation;Unrestricted after moratorium period;NULL
39;Feeding ecology of Terns in the Belgian Part of the North sea;Data Institute for Nature Conservation;Unrestricted after moratorium period;NULL
40;Feeding ecology of adult Terns in the Belgian Part of the North sea;Data Institute for Nature Conservation;Unrestricted after moratorium period;NULL
41;Feeding ecology of Terns chicks in the Belgian Part of the North sea;Data Institute for Nature Conservation;Unrestricted after moratorium period;NULL
42;Fishbase Version 2000;Froese, R. And D. Pauly, eds., Fishbase. International Center for Living Aquatic Resources (ICLARM),  Manila, Philippines, Version: Fishbase2000 (21 aug. 2004),, database, http://www.fishbase.org;Attribution (CC BY);
43;Hexacorallians of the world;Fautin, Daphne G. (2013). Hexacorallians of the World.;Attribution (CC BY);
44;Water management datasystem from  Flanders Hydraulics Research;NULL;Attribution (CC BY);NULL
45;Hydro-meteo information for the Belgian Coast and Voordelta.;NULL;Commercially available;NULL
46;Mysid shrimp populations in the Scheldt estuary;"Fockedey, N.; Mees, J.; Marine Biology Section - Ugent; (2003): Mysid shrimp populations in the Scheldt estuary.";Unrestricted after moratorium period;NULL
47;IDOD- Integrated and Dynamical Oceanographic Data management;Data from IDOD: Integrated and Dynamical Oceanographic Data management Database  http://www.mumm.ac.be/datacentre/index.php searched on dd/mm/yyyy.;Attribution (CC BY);
48;Index of organism names;Data from Index of organism names Database  http://www.biosis.org.uk/free_resources/ion.html searched on dd/mm/yyyy.;Unrestricted;NULL
49;Integrated Taxonomic Information System;Retrieved [month, day, year], from the Integrated Taxonomic Information System on-line database, http://www.itis.gov.;Attribution (CC BY);
50;LarvalBase;Ueberschär Bernd. Data from LarvalBase,   http://www.larvalbase.org/ searched on dd/mm/yyyy.;Unrestricted;NULL
51;Temporal patterns for macrobenthos species at stations 115b and 330 in the Belgian Part of the North Sea (2003);"Onraedt, G.; Vanaverbeke, J.; Marine Biology Research Group - Ugent: Belgium; (2003): Macrobenthos: temporal patterns for BCS stations 115b and 330. Marine Data Archive.";Attribution (CC BY);
52;Marine Species Database for Eastern Africa;Vanden Berghe, E. (2004). Data from MASDEA, Marine Species Database for  Eastern Africa, provided by Flanders Marine Institute (VLIZ).;Attribution (CC BY);
53;Meiobenthos of subtidal sandbanks on the Belgian Continental Shelf;"Vanaverbeke, J. et al., Meiobenthos of subtidal sandbanks on the Belgian Continental Shelf. Manuela Database, Universiteit Gent; Faculteit Wetenschappen; Vakgroep Biologie; Afdeling Mariene Biologie,  Ghent, Belgium.";Attribution (CC BY);
54;Meiobenthos at station 115bis in the Belgian Part of the North Sea (1999);Steyaert, M. (1999). Meiobenthos at station 115bis - bentho-pelagic coupling. Ghent University, Department of Biology, Marine Biology Section (MARBIOL), Belgium.;Attribution (CC BY);
55;Temporal patterns for meiobenthos species at stations 115bis and 330 in the Belgian Part of the North Sea (2002-2003);See unpublished Maria Franco;Unrestricted after moratorium period;NULL
56;Metabolism, reproduction and moulting as endpoints to study endocrine disruption of Neomysis integerin the Scheldt Estuary;"Ghekiere A., Verslycke T., De Smet L., Van Beeumen J., Janssen C.R.; Environmental toxicology research group - Ugent; (2004): Metabolism, reproduction and moulting as endpoints to study endocrine disruption of Neomysis integerin the Scheldt Estuary";Attribution (CC BY);
57;Marine Information and Data Acquisition System: Underway & Cruise data;"Flanders Marine Institute (VLIZ); (2017): Marine Information and Data Acquisition System: Underway & Cruise data.";Unrestricted;NULL
59;Monitoring Network Flemish Banks;IVA MDK - afdeling Kust - Meetnet Vlaamse Banken;For more information on the restrictions, use contact information.;For commercial use, please contact kust@vlaanderen.be
61;Taxonomy and biodiversity of shallow coastal Mysidacea of the Western Indian Ocean;"Deprez, T.; Mees, J.; Wooldridge, T.; Vincx, M. (2001). MYSIDLAN 4.0 Taxonomy and biodiversity of shallow coastal Mysidacea of the Western Indian Ocean [CD-ROM]. Magda Vincx, Marine Biology Section: Gent, Belgium. 1 cd-rom pp.";Restricted;Release with permission of the appropriate parties
62;Natural stable isotopes in the primary producents of the pelagic and the benthic heterotrophic cycle of the Belgian Continental Shelf;"Bogards R., Moodley L., Van Oevelen D., Soetaert K. 2003: Natural stable isotopes in the primary producents of the pelagic and the benthic heterotrophic cycle. Netherlands Institute of Ecology; Centre for Estuarine and Marine Ecology, Netherlands. Metadata available at http://mda.nioo.knaw.nl/imis.php?module=dataset&dasid=62";Unrestricted after moratorium period;NULL
64;North East Atlantic Taxa;"HANSSON, H. (2004). Data from NEAT, North East Atlantic Taxa database,   http://www.tmbl.gu.se/libdb/taxon/taxa.html; searched on dd/mm/yyyy.";Attribution (CC BY);
65;Biodiversity of Antarctic Nematodes;NULL;Attribution (CC BY);
66;World Database of Nematodes;Nemys eds. (2024). Nemys: World Database of Nematodes. Accessed at https://nemys.ugent.be on yyyy-mm-dd;Attribution (CC BY);
67;North Sea Benthos Survey;Craeymeersh J., P. Kingston, E. Rachor, G. Duineveld, Carlo Heip, Edward Vanden Berghe,  1986: North Sea Benthos Survey.;Attribution-ShareAlike (CC BY-SA);NULL
68;Ocean Biodiversity Information System;OBIS (YEAR) Ocean Biodiversity Information System. Intergovernmental Oceanographic Commission of UNESCO. Www.iobis.org.;Unrestricted;NULL
69;Organic carbon and nitrogen determination in Scheldt estuary samples;"Monteyne, E.; Roose, P.; Management Unit of the North Sea Mathematical Models - RBINS; (2003): Organic carbon and nitrogen determination in Scheldt estuary samples";Unrestricted after moratorium period;NULL
70;Population structure and dispersal in the North Sea of Pomatoschistus gobies;"Gysels, E.; Hellemans, B.; Geysen, B.; Volckaert, F.A.M.; Laboratory of Animal Diversity and Systematics - KULeuven; (2005): Population structure and dispersal in the North Sea of Pomatoschistus gobies.";Restricted;Release with permission of the appropriate parties
71;Population structure and dispersal of <i>Solea solea</i> (Common Sole) in the North Sea;NULL;Restricted;Release with permission of the appropriate parties
72;Population structure and dispersal of the Pomatoschistus parasite Gyrodactylus in Belgian waters;NULL;Restricted;Release with permission of the appropriate parties
74;WL Sediment Monitoring Network Scheldt Bassin;"Flanders Hydraulics Research; (2017): WL Sediment Monitoring Network Scheldt Bassin.";Restricted;Release with permission of the appropriate parties
76;Species 2000;Data from Species 2000 Database  http://www.sp2000.org/ searched on dd/mm/yyyy.;Unrestricted;NULL
77;Stomach analysis of stranded seabirds on the Belgian Coast;Data Institute for Nature Conservation;Unrestricted after moratorium period;NULL
78;Supporting meteo data of the ENDIS-RISKS sampling campaigns on the Belgian Continental Shelf;"Monteyne, E.; Roose, P.; (2007): Supporting meteo data of the ENDIS-RISKS sampling campaigns on the Belgian Continental Shelf";Attribution (CC BY);NULL
79;Supporting SCTD data of the ENDIS-RISKS sampling campaigns on the Belgian Continental shelf;"Monteyne, E.; Roose, P.; (2007): Supporting SCTD data of the ENDIS-RISKS sampling campaigns on the Belgian Continental shelf.";Attribution (CC BY);NULL
80;VMM: Surface water monitoring network of the Flemish Environment Agency;"Vlaamse Milieu Maatschappij (VMM); (2004): VMM: Surface water monitoring network of the Flemish Environment Agency.";Unrestricted;NULL
81;VMM:The wastewater monitoring network of the Flemish Environment Agency;"Vlaamse Milieu Maatschappij (VMM); (2004): VMM: VMM:The wastewater monitoring network of the Flemish Environment Agency";Unrestricted;NULL
82;Taxonomic Information System for the Belgian coastal area;Flanders Marine Institute (VLIZ). Taxonomic Information System for the Belgian coastal area. 10 Aug 2004, Oostende, Belgium, Accessed on [dd/mm/yyyy].;Attribution (CC BY);
85;Monitoring network of the Hydraulics Research Centre;NULL;For more information on the restrictions, use contact information.;Release with permission of the appropriate parties
89;World Biodiversity Database;Data from WBD, World Biodiversity Database  http://www.eti.uva.nl/Database/WBD.html searched on dd/mm/yyyy.;Unrestricted;NULL
90;World Ocean Database 1998;National Oceanographic Data Center (1998). World Ocean Database 1998: scientific datasets observed and standard level oceanographic data [CD-ROM]. NOAA: Silver Spring. 5 cd-roms pp.;Unrestricted;NULL
91;World Taxonomist Database;Data from WTD, World Taxonomist Database  http://www.eti.uva.nl/Database/WTD.html searched on dd/mm/yyyy.;Unrestricted;NULL
92;Yeast Estrogen Screen (YES) and Yeast Androgen Screen (YAS) on water samples of the Scheldt estuary;"Ghekiere, A.; Environmental toxicology research group - Ugent; (2004): Yeast Estrogen Screen (YES) and Yeast Androgen Screen (YAS) on water samples of the Scheldt estuary";Unrestricted after moratorium period;NULL
115;ED-North Database: Evaluation of possible impacts of endocrine disruptors on the North Sea ecosystem;G. Vandenbergh, T. Verslycke, C. Janssen, W. De Coen. 20/01/2001. ED-North Database: Evaluation of possible impacts of endocrine disruptors on the North Sea ecosystem  F. Comhaire, W. Dhooge & K. Callebaut;Unrestricted;NULL
118;Database lateral input Zeeschelde;"Deneudt, K.; Flanders Marine Institute - VLIZ; (2003): Database laterale input Zeeschelde.";Restricted;Release with permission of the appropriate parties
124;IKONOS satellite images Flanders (Belgium);NULL;Unrestricted;NULL
126;Medium scale color ortho pictures Flanders;NULL;Unrestricted;NULL
128;BIOGEST project dataset: Biogas Transfer in Estuaries;"Frankignoulle, M.; Borges, A.V.; Chemical Oceanograpy Unit - Université de Liège; (2004):  BIOGEST project dataset: Biogas Transfer in Estuaries";Restricted;Release with permission of the appropriate parties
129;EUROTROPH project dataset: Nutrients Cycling and the Trophic Status of Coastal Ecosystems;"Frankignoulle, M.; Borges, A.V.; Chemical Oceanograpy Unit - Université de Liège; (2007):  EUROTROPH project dataset: Nutrients Cycling and the Trophic Status of Coastal Ecosystems";Unrestricted;NULL
130;Continuous acquisition of inorganic and organic carbon and associated parameters at the station Ste Anna, Antwerp;"Borges, A.V.; Frankignoulle, M.; Chemical Oceanograpy Unit - Université de Liège; (2004):  Continuous acquisition of inorganic and organic carbon and associated parameters at the station Ste Anna, Antwerp";Unrestricted after moratorium period;NULL
132;MWTL monitoring network;NULL;For more information on the restrictions, use contact information.;NULL
134;MWTL chemical monitoring network;NULL;For more information on the restrictions, use contact information.;NULL
135;MWTL chemical monitoring network Westerschelde;NULL;Attribution (CC BY);NULL
137;Hyperbenthic communities of the North Sea;"Dewicke, A; Marine Biology Section (MARBIOL) – Ugent, Belgium; (2014): Hyperbenthic communities of the North Sea";Attribution-ShareAlike (CC BY-SA);NULL
145;Long term trends in the macrobenthos of the Belgian Continental Shelf;"Degraer, S.; Wittoeck, J.; Appeltans, W.; Cooreman, K.; Deprez, T.; Hillewaert, H.; Hostens, K.; Mees, J.; Vanden Berghe, E.; Vincx, M. (2006) Macrobel: Long term trends in the macrobenthos of the Belgian Continental Shelf. Oostende, Belgium.  Http://www.vliz.be/vmdcdata/macrobel/";Attribution (CC BY);
139;TROPHOS Microsatellite data of <i>Solea solea</i> (Common sole) on the Belgian Coninental Shelf;NULL;Unrestricted after moratorium period;NULL
146;Epi- and hyperbenthic communities of Belgian sandy beaches;NULL;Attribution (CC BY);NULL
148;Evolution of populations of coastal breeders at the inner port of Zeebrugge: breeding success: biometry of chicks;Data Institute for Nature Conservation;Unrestricted after moratorium period;NULL
149;Evolution of populations of coastal breeders at the inner port of Zeebrugge: breeding success: eggsize;Data Institute for Nature Conservation;Unrestricted after moratorium period;NULL
151;Belgian Continental Shelf Turbellaria;NULL;Unrestricted;NULL
152;Phytoplankton species information for the North Sea;NULL;Attribution (CC BY);NULL
147;Macrodat database 1 (June 2004);NULL;Restricted;Release with permission of the appropriate parties
154;Belgian Continental Shelf Nematoda;NULL;NULL;NULL
155;European Seabirds at Sea - data collected by the Research Institute for Nature and Forest (INBO), Belgium;Research Institute for Nature and Forest (INBO). European Seabirds at Sea - data collected by the Research Institute for Nature and Forest (INBO). INBO Seabird distribution data (all trips).;Attribution-NonCommercial (CC BY-NC);Distribution records are made available online. Counts can be made available upon request.
160;Population structure and dispersal of <i>Anguilla anguilla</i> (European Eel);NULL;Restricted;Restrictions available at contact person
161;North Sea Benthos Project;"Rees, H.; Cochrane, S.J.; Craeymeersch, J.A.; de Kluijver, M.; Degraer, S.; Desroy, N.; Dewarumez, J.-M.; Duineveld, G.; Essink, K.; Hillewaert, H.; Kilbride, R.; Kröncke, I.; Nehmer, P.; Rachor, E.; Reiss, H.; Robertson, M.; Rumohr, H.; Vanden Berghe, E.; Van Hoey, G. (Eds.) (2024). North Sea Benthos Project (NSBP). Accessed at https://www.vliz.be/vmdcdata/nsbp/ on yyyy-mm-dd";Restricted;Restrictions apply to some or all of the data
163;Integrated Marine Information System;Flanders Marine Institute (YYYY). Integrated Marine Information System (IMIS). Available online at http://www.vliz.be/imis Consulted on YYYY-MM-DD.;Unrestricted;NULL
164;WOD North Sea Data;Data from World Ocean Data 1998 Database;Unrestricted;NULL
165;Biodiversity Resources in Belgium;NULL;Unrestricted;NULL
153;Characterisation of the habitat of the Flemish banks, the maritime country banks and of the hinder banks on the basis of the hyper benthos communities;"Cattrijsse, A.; Verween, A. ; Marine Biology Research Group - Ugent, Belgium (2004). Characterisation of the habitat of the Flemish banks, the maritime country banks and of the hinder banks on the basis of the hyper benthos communities. http://www.vliz.be/nl/imis?module=dataset&dasid=153";Attribution (CC BY);NULL
156;Spatial and temporal epibenthos and hyperbenthos variations at the Belgian Continental Shelf monitoring stations;"Cattrijsse, A. ; Marine Biology Research Group - Ugent, Belgium (2004). Spatial and temporal epibenthos and hyperbenthos variations at the Belgian Continental Shelf monitoring stations. Http://www.vliz.be/nl/imis?module=dataset&dasid=156";Attribution (CC BY);NULL
162;The hyperbenthos of subtidal sandbanks on the Belgian Continental Shelf: habitats and indicator species;"Willems, K.; Cattrijsse, A.; Marine Biology Research Group - Ugent: Belgium; (2004): The hyperbenthos of subtidal sandbanks on the Belgian Continental Shelf: habitats and indicator species. Marine data Archive.";Attribution (CC BY);NULL
167;Pigment data for stations 115bis and 330 in the Belgian Part of the North Sea (2002-2003);NULL;Unrestricted after moratorium period;NULL
168;Large scale base map Blankenberge (Cardib map Blankenberge);NULL;Commercially available;NULL
169;Large scale base map De Haan (Cardib map De Haan);NULL;Commercially available;NULL
170;Large scale base map Knokke-Heist (Cardib map Knokke-Heist);NULL;Commercially available;NULL
171;Large scale base map harbour area Antwerp;NULL;Commercially available;NULL
172;Mapping seawalls and connected coastal zone and coastal harbours on the Belgian shores;NULL;For more information on the restrictions, use contact information.;NULL
173;Zwin topography;NULL;Unknown;NULL
174;Topography of sea-defensive dunes Flemish coast;NULL;For more information on the restrictions, use contact information.;NULL
175;Topography of the Flemish coast;NULL;For more information on the restrictions, use contact information.;NULL
176;Bathymetry foreshore Flemish coast;NULL;The data can be made available upon request, please use contact information.;NULL
177;Depth contours Beneden-Zeeschelde;NULL;Commercially available;NULL
179;Electronical sea map Flemish Banks 1/100000;NULL;Unknown;NULL
182;Maps of Blankenberge - Harbour (AF02P18);NULL;Commercially available;NULL
183;Position of block groins at Zeebrugge;NULL;For more information on the restrictions, use contact information.;NULL
184;Maps Ostend - Sea harbour;NULL;Restricted;Release with permission of the appropriate parties
186;Protected landscapes of the land development project De Westhoek;NULL;Commercially available;NULL
187;Recognised (state) nature reserves of the land development project the Westhoek;NULL;Commercially available;NULL
188;Landscape classificiation for the land development project De Westhoek;NULL;Restricted;Restrictions available at contact person
189;European (and Flemish) Ramsar sites;Bron: Vl. overheid, Agentschap voor Natuur en Bos;Restricted;Restrictions available at contact person
190;Vegetation Zwin;NULL;Unknown;NULL
191;Vegetation sea-defensive dunes Flemish coast;NULL;For more information on the restrictions, use contact information.;NULL
193;Flemish Bird Directive Areas (assigned on 17.10.1988);NULL;Commercially available;NULL
195;Flemish Bird Directive Areas, situation 17/07/2000 (OC-product) (SBZ-V_17072000);NULL;Commercially available;NULL
197;Hydra: AOSO monitoring network;NULL;Restricted;Release with permission of the appropriate parties
198;WL - HIC pluviometric monitoring network;NULL;Restricted;Release with permission of the appropriate parties
201;WL limnimetric or hydrologic monitoring network navigable waterways;NULL;Restricted;Release with permission of the appropriate parties
204;Climatological monitoring network of the Belgian Royal Meteorological Institute (KMI);NULL;Commercially available;NULL
205;Strandings and sightings database for the North sea and Scheldt estuary;NULL;Restricted;Release with permission of the appropriate parties
207;Amphipoda Ireland;Costello M.J. Distribution of amphipod Crustacea in Ireland.;Restricted;Release with permission of the appropriate parties
209;TROPHOS/PODO-I work-database I (23/01/2004): Meiobenthos from station 330 - structural and funtional biodiversity on the Belgian Continental Shelf;Vanaverbeke, J. (1999). Nematodes from station 330: structural and functional biodiversity on the Belgian Continental Shelf. Ghent University, Department of Biology, Marine Biology Section (MARBIOL), Belgium.;Attribution (CC BY);
211;Seaweeds of Minho (Northern Portugal);Macroalgas do Minho or 'Seaweeds from Minho';Unrestricted after moratorium period;NULL
212;ChEssBase;Ramirez-Llodra, E., Blanco, 2005. ChEssBase: an online information system on biodiversity and biogeography of deep-sea fauna from chemosynthetic ecosystems. Version 2. World Wide Web electronic publications, http://www.noc.soton.ac.uk/chess/database/db_home.php;Attribution (CC BY);NULL
213;REDIT 1;"Grémare, A., J.M. Amouroux, , C. Labrune, 1998: Redit dataset. Observatoire Océanologique de Banyuls-Sur-Mer; Laboratoire d'Océanographie Biologique, France";Attribution (CC BY);
214;Benthos Information System (BIS);Data obtained from Benthic Information System of the NIOO / CEME (KNAW) Yerseke.;Restricted;Restrictions apply to some or all of the data
215;MBA/<i>MarLIN</i>-Collated Marine Life Survey Datasets;NULL;Restricted;Restrictions available at contact person
216;The CPR Survey;"Dan Lear (SAHFOS) (2019): Continuous Plankton Recorder Survey (CPR Survey). The Marine Biological Association of the UK, CPR Survey. (Dataset).&nbsp;";Attribution (CC BY);NULL
217;Pt B Tintinnids;Pt B Tintinnid Series;Unrestricted after moratorium period;NULL
218;MARECHIARA-mesozooplankton long-term time-series (1984-2006) at the fixed coastal station in the Gulf of Naples, Southern Tyrrhenian Sea;Mazzocchi M.G., Meso-zooplankton species dataset at St. Marechiara (Gulf of Naples);NULL;NULL
219;Modigh-tintinnidsGoN;Modigh M. Tintinnid dataset at St. Marechiara (Gulf of Naples);Restricted;Not freely available
220;Northern Norway 33 coastal projects;NULL;NULL;NULL
221;Southern Norway 4 coastal projects;NULL;NULL;NULL
222;BIODAFF (IOPAS-PML);NULL;NULL;NULL
223;BIODAFF (PML-IOPAS);NULL;NULL;NULL
224;BIODAFF (PML-Tromso);NULL;NULL;NULL
225;BIODAFF (PML-AWI);NULL;NULL;NULL
226;Biological and statistical data of the swordfish fishery;NULL;NULL;NULL
227;Biology of the most important fish species;NULL;NULL;NULL
228;Biological and statistical data of the tuna fishery;NULL;NULL;NULL
229;CLIPE;NULL;NULL;NULL
230;Demersais survey in the Azores between 1996 and 2013;"Menezes, G.; Institute of Marine Research (IMAR - Azores), Portugal; Department of Oceanography and Fisheries, University of the Azores (DOP/UAC), Portugal; (2014): Demersais survey in the Azores between 1996 and 2013.";Attribution (CC BY);NULL
231;Environmental survey in the Isfjorden complex;NULL;NULL;NULL
232;Environmental survey, Malenebugten;NULL;NULL;NULL
233;Intertidal Polychaeta near Tromso;NULL;NULL;NULL
234;Lagoon of Santo Cristo;NULL;NULL;NULL
235;Landings;Only available by special arrangement;NULL;NULL
236;Limpets;NULL;NULL;NULL
237;MARE;NULL;NULL;NULL
238;Mercury data in selected species from the Azores;NULL;NULL;NULL
239;North Norway hard-bottom fauna succession;NULL;NULL;NULL
240;North Sea monitoring (a);NULL;NULL;NULL
241;North Sea monitoring (b);NULL;NULL;NULL
242;Octopus;NULL;NULL;NULL
243;Polish Arctic Marine Programme;Weslawski J.-M., E. Malec, R. Jaskuła, M. Włodarska-Kowalczuk, M. Kędra, 2002: Polish Arctic Marine Programme. Macrobenthic data from Hornsund from 2002. Polish Academy of Sciences, Institute of Oceanology, Poland;Attribution (CC BY);
245;Rock-pool fishes;NULL;NULL;NULL
246;Sandy-Beach fishes;NULL;NULL;NULL
247;Sea turtles;NULL;NULL;NULL
248;Seabirds;NULL;NULL;NULL
249;Soft bottom fauna in Balsfjord, northern Norway;NULL;NULL;NULL
250;Soft bottom fauna in the Barents Sea;NULL;NULL;NULL
251;South-West Norway benthos;NULL;NULL;NULL
252;Species Inventory;NULL;NULL;NULL
253;Tidal Zone Project;NULL;NULL;NULL
254;Trondheimsfjord benthos monitoring;NULL;NULL;NULL
255;Southern Caspian Mnemiopsis Database;NULL;NULL;NULL
256;Western Caspian Mnemiopsis Database;NULL;NULL;NULL
257;A new method for the quantitative measurement of the effects of otter trawling on benthic nutrient fluxes and sediment biogeochemistry;NULL;NULL;NULL
258;ADIOS;NULL;NULL;NULL
259;Anchovy (<i>Engraulis encrasicolus</i>);NULL;NULL;NULL
260;Bathing water quality monitoring in Crete;NULL;NULL;NULL
261;BIOtechnologies from the DEEP;NULL;NULL;NULL
264;CINCS;NULL;Attribution (CC BY);NULL
265;CYCLOPS;NULL;NULL;NULL
266;DESEAS;NULL;NULL;NULL
267;EC Study Project 93/012. The environmental impact of demersal fishing gears on the marine environment;NULL;NULL;NULL
268;EC Study Project 98/017. Comparison of rapid trawling methodologies for quantifying envronmental impacts of otter trawls;NULL;NULL;NULL
269;Ecology of macrobenthos of Agia Pelagia Gulf;NULL;NULL;NULL
270;EMED [1978-ongoing];NULL;NULL;NULL
271;EMED [1988-1999];NULL;NULL;NULL
272;Environmental impact assessment of oil pollution accident in Gialova lagoon and Navarino Bay;Dounas C., 1996: Environmental impact assessment of oil pollution accident in Gialova lagoon and Navarino Bay. Hellenic Centre for Marine Research, Greece http://www.vliz.be/imis/imis.php?module=dataset&dasid=272;Attribution (CC BY);NULL
273;Erdemli;NULL;NULL;NULL
274;Establishment of a Marine Protected Zone with artificial reefs in Vistonikos Gulf, Thracean coasts;NULL;NULL;NULL
275;Hake (<i>Merluccius merluccius</i>);NULL;NULL;NULL
276;Helgoland Roads Time Series: phytoplankton;NULL;Restricted;NULL
277;Identification, description and mapping of Marine Natura (92/43) habitats in Greece;NULL;NULL;NULL
278;Implementation of Management Plans for Pylos lagoon and Evrotas Delta;NULL;NULL;NULL
262;Sampling campaigns - Belgian Continental Shelf Wreck Fauna (pilot study);NULL;Unrestricted after moratorium period;NULL
279;dinocysts_Naples;NULL;Restricted;Release with permission of the appropriate parties
280;Interactions between Aquaculture and Marine Environment;NULL;NULL;NULL
281;Izmir;NULL;NULL;NULL
282;LARKO/Polychaeta, Mollusca, Crustacea, Echinodermata, Miscellanea;NULL;NULL;NULL
283;Marmara Sea Plankton;NULL;NULL;NULL
284;NATO SFS: Food chains in the Aegean Sea;NULL;NULL;NULL
